Unnamed: 0,id,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree,compas_decile_score,two_year_recid,compas_guess,compas_correct,c_charge_desc,mturk_charge_name,full_charge_description,model_prediction,meta_prediction
4,249,1,0,46,0,0,6,129,1,1,1,0,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
390,7411,2,0,30,0,0,5,15,0,9,0,1,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
245,5557,2,0,51,0,0,0,423,0,4,1,0,0,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",0,0
56,3603,2,0,30,0,0,6,129,1,6,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
33,2131,2,0,36,0,0,0,129,1,8,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
24,1286,1,0,24,0,2,3,129,1,4,1,0,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
249,5973,1,0,51,0,0,6,423,0,1,1,0,0,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",0,0
61,3881,2,0,31,0,1,10,129,1,5,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
603,4616,2,0,24,0,0,4,186,1,9,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
563,9465,2,1,55,0,0,2,10,1,1,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
566,10377,1,0,41,0,0,0,10,1,1,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
738,8612,2,0,24,0,0,6,336,1,9,1,1,1,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,1
453,6466,1,0,53,0,0,0,337,0,1,0,0,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",0,0
596,3584,1,0,26,0,0,0,186,0,5,0,1,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,0
247,5691,1,0,26,0,0,1,423,0,3,0,0,1,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",1,0
124,8091,2,0,43,0,0,0,129,1,1,1,0,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,1
636,7722,2,1,23,0,0,3,186,1,9,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,1
62,3906,2,0,29,0,0,13,129,1,8,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
419,10673,2,1,29,0,1,7,15,1,7,1,1,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
161,10095,2,0,27,0,0,2,129,1,3,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
392,7683,2,1,24,0,0,2,15,1,7,1,1,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
396,8038,2,1,67,0,0,0,15,1,1,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
354,2664,2,0,27,0,0,0,15,1,8,1,1,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
368,5274,2,0,21,0,0,0,15,0,9,1,1,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
726,6047,1,0,58,0,0,2,336,1,5,0,1,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,0
30,1717,2,0,35,0,0,5,129,1,6,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
575,847,2,0,26,0,0,3,186,1,6,0,1,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
251,6319,2,0,23,0,0,2,423,0,9,1,1,1,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",0,0
403,9143,1,0,20,0,0,0,15,1,2,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
141,8794,1,1,30,0,0,1,129,1,2,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
628,7444,2,0,24,0,0,1,186,1,5,0,1,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
383,6574,2,1,31,0,0,2,15,1,2,1,0,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
74,4651,2,0,38,0,0,0,129,1,8,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
545,6227,2,1,23,0,0,2,10,1,7,1,1,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,1,1
382,6534,2,1,33,0,0,5,15,1,7,0,1,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
455,6741,2,0,21,0,0,1,337,0,4,0,0,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,0
243,4884,1,0,31,0,0,0,423,0,1,0,0,1,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",1,0
709,2864,2,0,35,0,0,7,336,1,4,1,0,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,1
587,2485,2,1,31,0,0,2,186,1,2,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,0
647,9636,2,0,30,0,2,13,186,1,10,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
635,7711,2,0,20,0,0,0,186,1,3,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
75,4739,2,0,25,0,13,21,129,1,9,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
462,8973,1,1,30,0,0,1,337,0,6,0,1,0,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",0,0
536,5048,2,1,26,0,0,5,10,1,5,1,1,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
652,10784,1,0,39,0,0,0,186,1,2,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
656,10992,1,0,21,0,0,0,186,0,6,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
148,9293,2,0,29,0,0,10,129,1,6,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,1
123,8068,1,0,32,0,0,6,129,1,8,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,0
641,8386,2,0,24,0,0,0,186,1,5,0,1,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
69,4422,2,0,29,0,0,0,129,1,9,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
583,1914,2,0,22,0,0,0,186,1,5,0,1,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
747,10851,2,1,29,0,0,2,336,1,3,1,0,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",1,1
160,9956,2,0,50,0,0,4,129,1,1,1,0,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
597,3698,1,0,49,0,0,0,186,1,1,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
379,6097,1,0,26,0,0,2,15,1,9,1,1,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
642,8535,2,0,58,0,0,0,186,1,4,1,0,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
521,1638,2,0,45,0,0,10,10,1,3,1,0,0,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
79,5160,2,0,36,0,0,11,129,1,7,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
618,6462,2,0,23,0,0,3,186,1,8,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
257,8149,1,0,27,0,0,3,423,0,3,0,0,1,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",1,1
46,2859,1,0,37,0,0,11,129,1,8,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
739,9253,1,0,40,0,0,4,336,1,7,0,1,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,0
703,2365,1,0,49,0,0,1,336,1,3,0,0,1,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,0
158,9727,2,0,32,0,1,11,129,1,5,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
654,10909,1,0,29,0,0,14,186,1,10,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
447,5075,2,0,26,1,3,24,337,0,10,1,1,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
93,6078,1,1,28,0,0,0,129,1,2,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
377,6006,2,1,39,0,0,4,15,1,6,0,1,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
700,1714,1,0,27,0,0,1,336,1,10,0,1,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,0
528,3377,1,1,37,0,0,0,10,1,1,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,1,1
416,10370,1,1,26,0,0,0,15,1,3,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
464,8989,2,0,22,0,0,1,337,0,7,1,1,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
644,9296,2,1,26,0,0,4,186,1,9,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
560,8085,2,0,20,0,0,0,10,1,7,1,1,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,1,1
549,6604,2,0,38,0,0,2,10,1,3,1,0,0,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
359,3858,2,1,33,0,0,3,15,1,6,1,1,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
349,1852,2,0,28,0,0,7,15,1,7,1,1,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
465,9163,2,0,31,1,1,12,337,0,8,1,1,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
582,1797,2,1,27,0,0,3,186,1,9,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
704,2398,1,1,56,0,0,1,336,1,1,0,0,1,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,0
346,1557,2,1,54,0,0,0,15,1,1,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
735,8104,2,1,42,0,0,16,336,1,6,0,1,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",1,1
448,5120,2,1,57,0,0,0,337,0,1,0,0,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",0,0
231,282,1,0,45,0,0,8,423,0,4,1,0,0,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",0,0
