Unnamed: 0,id,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree,compas_decile_score,two_year_recid,compas_guess,compas_correct,c_charge_desc,mturk_charge_name,full_charge_description,model_prediction,meta_prediction
114,7156,2,0,48,0,0,4,129,1,3,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
745,10652,2,0,33,0,0,3,336,0,6,1,1,1,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,0
264,10543,1,0,51,0,0,2,423,0,1,1,0,0,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",0,0
439,2151,1,0,25,0,0,2,337,0,4,1,0,0,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
580,1427,2,0,32,0,0,14,186,1,9,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
358,3543,1,1,39,0,0,4,15,1,1,1,0,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
101,6320,2,0,39,0,0,21,129,1,10,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
240,3175,1,0,50,0,0,1,423,0,1,1,0,0,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",0,0
567,10456,2,0,28,1,2,5,10,1,7,1,1,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
523,2201,1,1,60,0,0,2,10,1,1,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
91,6024,2,0,30,0,0,3,129,1,2,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
434,875,2,1,25,0,0,0,337,0,3,0,0,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
64,3974,2,0,30,0,0,7,129,1,3,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
3,178,2,0,33,0,12,28,129,1,8,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
80,5282,1,0,27,0,0,0,129,1,9,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
239,2814,1,0,36,0,0,5,423,0,3,1,0,0,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",0,0
132,8487,1,0,37,0,0,3,129,1,8,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
530,3455,2,1,25,0,0,1,10,1,3,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,1,1
395,7923,1,0,68,0,0,7,15,1,7,1,1,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
166,10545,2,0,27,0,0,10,129,1,7,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
385,6929,1,0,39,0,0,0,15,1,3,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
469,10448,2,0,48,0,0,11,337,0,4,1,0,0,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
337,402,2,1,48,0,0,0,15,1,2,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
22,1230,2,0,24,0,0,0,129,1,3,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
572,469,2,0,20,0,0,0,186,1,10,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
454,6518,2,0,28,0,0,1,337,0,5,0,1,0,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",0,0
626,7304,1,0,27,0,0,0,186,1,2,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
571,337,2,0,54,0,0,11,186,1,9,0,1,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
344,1181,2,1,35,0,0,4,15,1,5,0,1,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
517,468,2,0,27,0,0,0,10,1,2,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
136,8568,2,0,24,0,0,4,129,1,5,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
556,7570,2,0,44,0,0,0,10,1,1,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
70,4461,1,0,64,0,0,8,129,1,1,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
599,4191,1,1,35,0,0,2,186,1,4,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
712,3639,2,0,29,0,0,0,336,0,2,0,0,1,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,0
32,2101,1,0,31,0,0,10,129,1,2,1,0,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
26,1538,1,0,44,0,0,6,129,1,3,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
432,265,2,0,28,0,0,6,337,0,6,1,1,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",0,0
384,6791,2,0,57,0,0,3,15,1,1,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
614,5707,2,0,56,0,0,7,186,1,4,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
241,3387,2,0,52,0,0,1,423,0,1,1,0,0,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",0,0
564,10212,2,0,67,0,0,3,10,1,2,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,1,1
590,2926,2,0,23,0,0,0,186,1,3,1,0,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
152,9407,2,0,40,0,0,20,129,1,7,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
18,1140,2,0,71,0,0,8,129,1,1,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
702,2247,2,0,31,3,0,6,336,1,10,1,1,1,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",1,1
253,6448,1,0,29,0,0,4,423,0,6,1,1,1,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",0,0
157,9603,2,1,34,0,0,5,129,1,2,1,0,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
727,6354,1,1,61,0,0,8,336,1,3,1,0,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,0
551,6960,2,1,31,0,0,0,10,1,1,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
112,7077,2,0,31,0,0,8,129,1,9,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
409,9923,2,0,27,1,0,4,15,1,5,1,1,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
347,1627,2,1,24,0,0,1,15,1,3,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
625,7219,2,0,32,0,0,3,186,1,4,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
417,10498,1,1,65,0,0,1,15,1,1,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
468,10232,2,0,39,0,0,2,337,0,1,1,0,0,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",0,0
405,9285,2,0,47,0,0,3,15,1,2,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
442,4189,2,0,26,0,1,9,337,0,10,1,1,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
140,8760,2,1,25,0,0,6,129,1,7,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
394,7842,2,0,51,0,0,4,15,1,1,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
437,1747,1,0,31,0,0,3,337,0,5,0,1,0,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
102,6400,2,0,30,0,0,0,129,1,4,1,0,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
109,6908,2,0,30,0,0,21,129,1,7,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
380,6268,2,1,28,0,0,0,15,1,3,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
717,4447,2,0,24,0,0,2,336,1,3,1,0,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,0
470,10643,2,0,22,0,0,0,337,0,10,0,1,0,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
529,3380,2,1,45,0,0,1,10,1,4,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
639,8174,2,0,27,0,0,1,186,1,2,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
17,1082,2,0,50,0,0,18,129,1,8,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
443,4314,2,0,28,0,1,14,337,0,7,1,1,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
230,59,1,0,29,0,0,2,423,0,2,1,0,0,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",1,1
632,7700,2,0,28,0,0,6,186,1,10,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
118,7615,2,0,34,0,0,0,129,1,1,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
601,4426,1,1,43,0,0,0,186,0,2,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
399,8136,1,0,61,0,0,1,15,1,1,1,0,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
130,8418,1,0,44,0,0,0,129,1,7,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
356,3234,1,0,39,0,0,8,15,1,1,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
637,7875,2,0,25,0,0,4,186,1,9,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
169,10645,2,0,31,0,0,0,129,1,7,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
389,7292,2,1,35,0,0,13,15,1,8,0,1,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
436,1700,2,0,25,0,0,0,337,0,3,1,0,0,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",0,0
543,6087,1,1,55,0,0,6,10,1,4,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
569,10585,2,1,25,0,0,1,10,1,5,0,1,0,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,1,1
707,2666,2,1,34,0,0,5,336,1,5,1,1,1,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",1,1
650,10088,2,1,28,0,0,1,186,1,2,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
524,2478,2,0,25,0,0,0,10,1,3,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
126,8226,1,0,39,0,0,3,129,1,6,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0